unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-01 19:05:20,hold,727.1,200,0,200.0,0.0,0:00:20,2400
2021-01-01 19:05:31,buy,726.76,0.0,0.27519401,200.0,0.0,0:00:31,2400
2021-01-01 19:05:41,hold,726.76,0.0,0.27519401,200.0,0.0,0:00:41,2400
2021-01-01 19:05:52,sell,727.02,200.07,0.0,200.07,0.036,0:00:52,2400
2021-01-01 19:06:02,hold,727.08,200.07,0.0,200.07,0.036,0:01:03,2400
2021-01-01 19:06:13,hold,727.12,200.07,0.0,200.07,0.036,0:01:13,2400
2021-01-01 19:06:24,buy,727.02,0.0,0.27519401,200.07,0.036,0:01:24,2400
2021-01-01 19:06:34,hold,727.02,0.0,0.27519401,200.07,0.036,0:01:35,2400
2021-01-01 19:06:45,hold,727.02,0.0,0.27519401,200.07,0.036,0:01:45,2400
2021-01-01 19:06:55,hold,727.02,0.0,0.27519401,200.07,0.036,0:01:55,2400
2021-01-01 19:07:04,hold,727.02,0.0,0.27519401,200.07,0.036,0:02:05,2400
2021-01-01 19:07:14,hold,726.96,0.0,0.27519401,200.06,0.028,0:02:14,2400
2021-01-01 19:07:23,hold,726.92,0.0,0.27519401,200.04,0.022,0:02:23,2400
2021-01-01 19:07:32,hold,726.92,0.0,0.27519401,200.04,0.022,0:02:32,2400
2021-01-01 19:07:42,hold,726.86,0.0,0.27519401,200.03,0.014,0:02:42,2400
2021-01-01 19:07:51,sell,726.94,200.05,0.0,200.05,0.025,0:02:51,2400
2021-01-01 19:08:00,hold,727.0,200.05,0.0,200.05,0.025,0:03:01,2400
2021-01-01 19:08:10,buy,727.0,-0.0,0.2751713,200.05,0.025,0:03:10,2400
2021-01-01 19:08:19,hold,727.0,-0.0,0.2751713,200.05,0.025,0:03:20,2400
2021-01-01 19:08:29,sell,727.43,200.17,0.0,200.17,0.084,0:03:29,2400
2021-01-01 19:08:38,buy,727.43,-0.0,0.2751713,200.17,0.084,0:03:38,2400
2021-01-01 19:08:47,sell,727.55,200.2,0.0,200.2,0.1,0:03:48,2400
2021-01-01 19:08:57,hold,727.76,200.2,0.0,200.2,0.1,0:03:57,2400
2021-01-01 19:09:06,buy,727.76,0.0,0.2750919,200.2,0.1,0:04:06,2400
2021-01-01 19:09:15,sell,728.09,200.29,0.0,200.29,0.146,0:04:16,2400
