unix,action,price (xbt),balance (usd),balance (xbt),valuation (usd),total net (%),uptime,dataset size
2021-01-03 19:22:27,sell,33017.4,3000,0,3000.0,0.0,0:00:19,2400
2021-01-03 19:22:37,buy,32993.3,4.8,0.09078207,3000.0,0.0,0:00:30,2400
2021-01-03 19:22:47,sell,32994.1,4.8,0.09078207,3000.07,0.002,0:00:40,2400
2021-01-03 19:22:58,buy,32994.1,-2995.26,0.09092732,4.8,-99.84,0:00:50,2400
2021-01-03 19:23:09,sell,33036.7,-2995.26,0.09092732,8.67,-99.711,0:01:01,2400
2021-01-03 19:23:19,hold,33047.4,-2995.26,0.09092732,9.65,-99.678,0:01:12,2400
2021-01-03 19:23:30,hold,33059.7,-2995.26,0.09092732,10.76,-99.641,0:01:23,2400
