unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-01 20:23:10,buy,722.2,0.0,0.2769316,200.0,0.0,0:00:20,2400
2021-01-01 20:23:20,hold,722.18,0.0,0.2769316,199.99,-0.003,0:00:30,2400
2021-01-01 20:23:30,sell,722.25,200.01,0.0,200.01,0.007,0:00:40,2400
2021-01-01 20:23:41,buy,722.02,-0.0,0.27701981,200.01,0.007,0:00:50,2400
2021-01-01 20:23:51,sell,722.45,200.13,0.0,200.13,0.066,0:01:01,2400
2021-01-01 20:24:02,buy,722.23,-0.0,0.2771042,200.13,0.066,0:01:12,2400
2021-01-01 20:24:13,hold,722.04,-0.0,0.2771042,200.08,0.04,0:01:22,2400
