unix,action,price (xbt),balance (usd),balance (xbt),valuation (usd),total net (%),uptime,dataset size
2021-01-03 19:28:07,hold,32960.6,3000,0,3000.0,0.0,0:00:19,2400
2021-01-03 19:28:17,hold,32952.2,3000,0,3000.0,0.0,0:00:29,2400
2021-01-03 19:28:27,sell,32957.6,3000,0,3000.0,0.0,0:00:40,2400
2021-01-03 19:28:37,buy,32920.6,0.01,0.09098255,2995.21,-0.16,0:00:50,2400
2021-01-03 19:28:48,hold,32920.5,0.01,0.09098255,2995.2,-0.16,0:01:00,2400
2021-01-03 19:28:58,hold,32910.6,0.01,0.09098255,2994.3,-0.19,0:01:10,2400
2021-01-03 19:29:09,hold,32900.6,0.01,0.09098255,2993.39,-0.22,0:01:21,2400
2021-01-03 19:29:19,hold,32881.6,0.01,0.09098255,2991.66,-0.278,0:01:32,2400
2021-01-03 19:29:28,hold,32864.0,0.01,0.09098255,2990.06,-0.331,0:01:41,2400
