unix,action,price (xbt),balance (usd),balance (xbt),valuation (usd),total net (%),uptime,dataset size
2021-01-03 20:44:18,sell,33108.1,3000,0,3000.0,0.0,0:00:19,2400
2021-01-03 20:44:29,buy,33107.8,-0.0,0.09061309,3000.0,0.0,0:00:30,2400
2021-01-03 20:44:39,sell,33118.6,3000.98,0.0,3000.98,0.033,0:00:40,2400
2021-01-03 20:44:49,buy,33118.2,0.0,0.09061418,3000.98,0.033,0:00:50,2400
2021-01-03 20:45:00,hold,33114.3,0.0,0.09061418,3000.63,0.021,0:01:01,2400
2021-01-03 20:45:11,sell,33120.4,3001.18,0.0,3001.18,0.039,0:01:12,2400
