unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2020-12-30 23:25:20,hold,743.46,200.0,0,200,0.0,0:00:12,2400
2020-12-30 23:25:30,sell,743.5,200.0,0,200,0.0,0:00:23,2400
2020-12-30 23:25:41,buy,743.51,0.0,0.26899436,200,0.0,0:00:33,2400
2020-12-30 23:25:52,hold,744.21,0.0,0.26899436,200,0.094,0:00:45,2400
2020-12-30 23:26:03,hold,744.32,0.0,0.26899436,200,0.109,0:00:55,2400
2020-12-30 23:26:13,buy,744.32,0.0,0.26899436,200,0.109,0:01:06,2400
2020-12-30 23:26:24,hold,744.32,0.0,0.26899436,200,0.109,0:01:16,2400
