unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-02 09:36:00,hold,758.3,200,0,200.0,0.0,0:00:20,2400
2021-01-02 09:36:11,hold,758.25,200,0,200.0,0.0,0:00:30,2400
2021-01-02 09:36:22,hold,758.25,200,0,200.0,0.0,0:00:41,2400
2021-01-02 09:36:32,hold,758.09,200,0,200.0,0.0,0:00:52,2400
2021-01-02 09:36:43,sell,758.33,200,0,200.0,0.0,0:01:02,2400
2021-01-02 09:36:53,buy,758.22,0.0,0.26377569,200.0,0.0,0:01:13,2400
2021-01-02 09:37:04,hold,758.18,0.0,0.26377569,199.99,-0.005,0:01:23,2400
2021-01-02 09:37:15,sell,758.62,200.11,0.0,200.11,0.053,0:01:34,2400
2021-01-02 09:37:26,hold,758.78,200.11,0.0,200.11,0.053,0:01:45,2400
2021-01-02 09:37:36,hold,759.24,200.11,0.0,200.11,0.053,0:01:55,2400
2021-01-02 09:37:46,buy,759.24,0.0,0.26356028,200.11,0.053,0:02:05,2400
2021-01-02 09:37:55,hold,759.24,0.0,0.26356028,200.11,0.053,0:02:15,2400
2021-01-02 09:38:04,hold,759.24,0.0,0.26356028,200.11,0.053,0:02:24,2400
2021-01-02 09:38:13,hold,759.24,0.0,0.26356028,200.11,0.053,0:02:33,2400
