unix,action,price (xbt),balance (usd),balance (xbt),valuation (usd),total net (%),uptime,dataset size
2021-01-03 20:53:20,buy,33254.6,0.0,0.09021308,3000.0,0.0,0:00:20,2400
2021-01-03 20:53:31,sell,33279.5,3002.25,0.0,3002.25,0.075,0:00:30,2400
2021-01-03 20:53:42,buy,33279.5,0.0,0.09021308,3002.25,0.075,0:00:41,2400
2021-01-03 20:53:52,hold,33279.5,0.0,0.09021308,3002.25,0.075,0:00:51,2400
2021-01-03 20:54:03,hold,33279.5,0.0,0.09021308,3002.25,0.075,0:01:02,2400
2021-01-03 20:54:13,hold,33261.2,0.0,0.09021308,3000.6,0.02,0:01:13,2400
2021-01-03 20:54:24,hold,33248.7,0.0,0.09021308,2999.47,-0.018,0:01:24,2400
2021-01-03 20:54:35,hold,33244.6,0.0,0.09021308,2999.1,-0.03,0:01:34,2400
2021-01-03 20:54:45,hold,33235.2,0.0,0.09021308,2998.25,-0.058,0:01:45,2400
2021-01-03 20:54:55,sell,33246.0,0.0,0.09021308,2999.22,-0.026,0:01:54,2400
2021-01-03 20:55:05,hold,33247.9,0.0,0.09021308,2999.4,-0.02,0:02:04,2400
2021-01-03 20:55:14,hold,33266.5,0.0,0.09021308,3001.07,0.036,0:02:13,2400
2021-01-03 20:55:23,buy,33250.0,0.0,0.09021308,2999.59,-0.014,0:02:23,2400
