unix,action,price (ltc),balance (usd),balance (ltc),valuation (usd),total net (%),uptime,dataset size
2021-01-06 15:57:07,hold,167.1,3000,0,3000.0,0.0,0:00:20,2400
2021-01-06 15:57:18,hold,167.12,3000,0,3000.0,0.0,0:00:30,2400
2021-01-06 15:57:28,buy,166.95,0.0,17.96945193,3000.0,0.0,0:00:41,2400
2021-01-06 15:57:39,sell,167.07,3002.16,0.0,3002.16,0.072,0:00:51,2400
2021-01-06 15:57:49,buy,167.07,0.0,17.96945193,3002.16,0.072,0:01:01,2400
2021-01-06 15:57:59,sell,167.29,3006.11,0.0,3006.11,0.204,0:01:12,2400
2021-01-06 15:58:10,buy,167.19,0.0,17.98019985,3006.11,0.204,0:01:22,2400
