unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-01 20:21:53,buy,722.65,-0.0,0.27675915,200.0,0.0,0:00:19,2400
2021-01-01 20:22:03,sell,722.79,200.04,0.0,200.04,0.019,0:00:30,2400
2021-01-01 20:22:14,hold,723.0,200.04,0.0,200.04,0.019,0:00:40,2400
2021-01-01 20:22:24,buy,723.0,-0.0,0.27667876,200.04,0.019,0:00:51,2400
2021-01-01 20:22:35,hold,722.63,-0.0,0.27667876,199.94,-0.032,0:01:01,2400
2021-01-01 20:22:45,sell,722.67,199.95,0.0,199.95,-0.026,0:01:12,2400
