unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-01 20:18:37,buy,722.5,-0.0,0.27681661,200.0,0.0,0:00:20,2400
2021-01-01 20:18:48,hold,722.19,-0.0,0.27681661,199.91,-0.043,0:00:30,2400
2021-01-01 20:18:58,sell,722.46,199.99,0.0,199.99,-0.006,0:00:41,2400
2021-01-01 20:19:09,buy,721.99,-0.0,0.27699681,199.99,-0.006,0:00:52,2400
2021-01-01 20:19:20,sell,722.26,200.06,0.0,200.06,0.032,0:01:02,2400
2021-01-01 20:19:31,hold,722.47,200.06,0.0,200.06,0.032,0:01:13,2400
2021-01-01 20:19:41,buy,721.96,-0.0,0.27711191,200.06,0.032,0:01:24,2400
2021-01-01 20:19:52,sell,722.39,200.18,0.0,200.18,0.091,0:01:35,2400
2021-01-01 20:20:02,hold,722.5,200.18,0.0,200.18,0.091,0:01:45,2400
