unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-01 14:41:08,buy,725.94,-0.0,0.27550486,200.0,0.0,0:00:19,2400
2021-01-01 14:41:19,sell,726.47,200.15,0.0,200.15,0.073,0:00:30,2400
2021-01-01 14:41:29,buy,726.39,-0.0,0.27553521,200.15,0.073,0:00:40,2400
2021-01-01 14:41:40,sell,726.53,200.18,0.0,200.18,0.092,0:00:51,2400
2021-01-01 14:41:50,buy,726.4,-0.0,0.27558452,200.18,0.092,0:01:02,2400
2021-01-01 14:42:01,sell,726.42,200.19,0.0,200.19,0.095,0:01:12,2400
