unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-02 18:40:24,hold,774.36,200,0,200.0,0.0,0:00:19,2400
2021-01-02 18:40:35,sell,774.46,200,0,200.0,0.0,0:00:30,2400
2021-01-02 18:40:45,buy,774.44,-0.0,0.25825112,200.0,0.0,0:00:41,2400
2021-01-02 18:40:56,sell,775.01,200.15,0.0,200.15,0.074,0:00:51,2400
2021-01-02 18:41:06,buy,774.72,-0.0,0.25834779,200.15,0.074,0:01:01,2400
2021-01-02 18:41:17,hold,774.64,-0.0,0.25834779,200.13,0.063,0:01:12,2400
2021-01-02 18:41:28,sell,775.1,200.25,0.0,200.25,0.123,0:01:23,2400
2021-01-02 18:41:38,hold,775.27,200.25,0.0,200.25,0.123,0:01:34,2400
2021-01-02 18:41:47,hold,775.6,200.25,0.0,200.25,0.123,0:01:43,2400
2021-01-02 18:41:57,hold,775.63,200.25,0.0,200.25,0.123,0:01:52,2400
2021-01-02 18:42:06,buy,775.55,-0.0,0.25819789,200.25,0.123,0:02:01,2400
2021-01-02 18:42:16,sell,775.64,200.27,0.0,200.27,0.134,0:02:11,2400
2021-01-02 18:42:25,buy,775.64,-0.0,0.25819789,200.27,0.134,0:02:21,2400
2021-01-02 18:42:34,hold,775.64,-0.0,0.25819789,200.27,0.134,0:02:30,2400
