unix,action,price (ltc),balance (usd),balance (ltc),valuation (usd),total net (%),uptime,dataset size
2021-01-03 21:12:28,hold,160.63,3000,0,3000.0,0.0,0:00:20,2400
2021-01-03 21:12:38,hold,160.62,3000,0,3000.0,0.0,0:00:30,2400
2021-01-03 21:12:49,hold,160.58,3000,0,3000.0,0.0,0:00:41,2400
