unix,action,price,balance (usd),balance (eth),valuation (usd),total net (%),dataset size
2020-12-30 17:26:40.559760,hold,747.79,200.0,0,200.0,0.0,2400
2020-12-30 17:26:53.521642,hold,747.79,200.0,0,200.0,0.0,2400
