unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-02 09:32:40,sell,758.5,200,0,200.0,0.0,0:00:20,2400
2021-01-02 09:32:51,hold,759.24,200,0,200.0,0.0,0:00:30,2400
2021-01-02 09:33:02,hold,759.39,200,0,200.0,0.0,0:00:41,2400
2021-01-02 09:33:13,hold,759.92,200,0,200.0,0.0,0:00:52,2400
2021-01-02 09:33:23,hold,760.0,200,0,200.0,0.0,0:01:03,2400
2021-01-02 09:33:34,buy,760.0,0.0,0.26315789,200.0,0.0,0:01:13,2400
2021-01-02 09:33:45,hold,760.0,0.0,0.26315789,200.0,0.0,0:01:24,2400
2021-01-02 09:33:56,hold,760.0,0.0,0.26315789,200.0,0.0,0:01:35,2400
2021-01-02 09:34:06,hold,759.82,0.0,0.26315789,199.95,-0.024,0:01:46,2400
2021-01-02 09:34:17,sell,760.0,200.0,0.0,200.0,0.0,0:01:56,2400
2021-01-02 09:34:27,buy,760.0,0.0,0.26315789,200.0,0.0,0:02:06,2400
2021-01-02 09:34:36,sell,760.14,200.04,0.0,200.04,0.018,0:02:15,2400
2021-01-02 09:34:45,hold,760.39,200.04,0.0,200.04,0.018,0:02:25,2400
2021-01-02 09:34:55,buy,760.4,0.0,0.26306791,200.04,0.018,0:02:34,2400
2021-01-02 09:35:04,hold,760.01,0.0,0.26306791,199.93,-0.033,0:02:43,2400
2021-01-02 09:35:14,hold,759.58,0.0,0.26306791,199.82,-0.089,0:02:53,2400
2021-01-02 09:35:23,hold,758.39,0.0,0.26306791,199.51,-0.246,0:03:02,2400
