unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-01 20:09:54,hold,720.7,200,0,200.0,0.0,0:00:19,2400
2021-01-01 20:10:05,hold,720.7,200,0,200.0,0.0,0:00:30,2400
2021-01-01 20:10:16,sell,721.02,200,0,200.0,0.0,0:00:41,2400
2021-01-01 20:10:26,hold,721.2,200,0,200.0,0.0,0:00:52,2400
2021-01-01 20:10:37,hold,721.35,200,0,200.0,0.0,0:01:02,2400
2021-01-01 20:10:48,buy,721.31,0.0,0.27727329,200.0,0.0,0:01:13,2400
2021-01-01 20:10:59,hold,721.13,0.0,0.27727329,199.95,-0.025,0:01:24,2400
