unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-02 18:37:16,hold,775.08,200,0,200.0,0.0,0:00:19,2400
2021-01-02 18:37:26,hold,775.44,200,0,200.0,0.0,0:00:29,2400
2021-01-02 18:37:37,buy,775.25,0.0,0.2579813,200.0,0.0,0:00:40,2400
2021-01-02 18:37:47,hold,775.2,0.0,0.2579813,199.99,-0.006,0:00:50,2400
2021-01-02 18:37:57,sell,775.37,200.03,0.0,200.03,0.015,0:01:00,2400
2021-01-02 18:38:08,buy,775.37,0.0,0.2579813,200.03,0.015,0:01:11,2400
2021-01-02 18:38:18,hold,775.36,0.0,0.2579813,200.03,0.014,0:01:21,2400
2021-01-02 18:38:28,sell,775.69,200.11,0.0,200.11,0.057,0:01:31,2400
2021-01-02 18:38:38,buy,775.64,0.0,0.25799793,200.11,0.057,0:01:41,2400
2021-01-02 18:38:47,hold,774.43,0.0,0.25799793,199.8,-0.099,0:01:50,2400
2021-01-02 18:38:57,hold,774.4,0.0,0.25799793,199.79,-0.103,0:02:00,2400
2021-01-02 18:39:06,hold,774.23,0.0,0.25799793,199.75,-0.125,0:02:09,2400
2021-01-02 18:39:15,hold,773.82,0.0,0.25799793,199.64,-0.178,0:02:18,2400
2021-01-02 18:39:24,sell,774.55,199.83,0.0,199.83,-0.084,0:02:27,2400
