unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-01 17:42:43,hold,731.24,200,0,200.0,0.0,0:00:20,2400
2021-01-01 17:42:54,hold,731.24,200,0,200.0,0.0,0:00:31,2400
2021-01-01 17:43:05,hold,731.24,200,0,200.0,0.0,0:00:41,2400
2021-01-01 17:43:15,hold,731.24,200,0,200.0,0.0,0:00:52,2400
2021-01-01 17:43:26,hold,731.24,200,0,200.0,0.0,0:01:03,2400
2021-01-01 17:43:37,hold,731.24,200,0,200.0,0.0,0:01:13,2400
2021-01-01 17:43:48,hold,731.24,200,0,200.0,0.0,0:01:24,2400
