unix,action,price (xbt),balance (usd),balance (xbt),valuation (usd),total net (%),uptime,dataset size
2021-01-03 18:15:36,buy,33372.7,3.0,0.08980394,3000.0,0.0,0:00:19,2400
2021-01-03 18:15:47,sell,33411.5,3.0,0.08980394,3003.48,0.116,0:00:30,2400
2021-01-03 18:15:57,hold,33419.5,3.0,0.08980394,3004.2,0.14,0:00:40,2400
2021-01-03 18:16:07,buy,33419.4,-3001.19,0.08989362,3.0,-99.9,0:00:50,2400
2021-01-03 18:16:18,sell,33427.5,0.72,0.08987198,3004.92,0.164,0:01:01,2400
