unix,action,price (xbt),balance (usd),balance (xbt),valuation (usd),total net (%),uptime,dataset size
2021-01-03 19:15:53,hold,32866.5,3000,0,3000.0,0.0,0:00:20,2400
2021-01-03 19:16:03,hold,32876.5,3000,0,3000.0,0.0,0:00:30,2400
2021-01-03 19:16:14,hold,32879.4,3000,0,3000.0,0.0,0:00:41,2400
2021-01-03 19:16:24,buy,32879.4,0.0,0.09124254,3000.0,0.0,0:00:51,2400
2021-01-03 19:16:34,sell,32899.4,3001.82,0.0,3001.82,0.061,0:01:02,2400
2021-01-03 19:16:45,hold,32916.0,3001.82,0.0,3001.82,0.061,0:01:12,2400
2021-01-03 19:16:56,buy,32900.1,0.0,0.0912406,3001.82,0.061,0:01:23,2400
2021-01-03 19:17:06,hold,32897.8,0.0,0.0912406,3001.61,0.054,0:01:33,2400
2021-01-03 19:17:16,hold,32893.7,0.0,0.0912406,3001.24,0.041,0:01:43,2400
2021-01-03 19:17:25,sell,32919.5,3003.59,0.0,3003.59,0.12,0:01:53,2400
2021-01-03 19:17:35,hold,32929.5,3003.59,0.0,3003.59,0.12,0:02:02,2400
2021-01-03 19:17:44,hold,32950.0,3003.59,0.0,3003.59,0.12,0:02:12,2400
2021-01-03 19:17:54,hold,32979.5,3003.59,0.0,3003.59,0.12,0:02:21,2400
2021-01-03 19:18:03,hold,32999.5,3003.59,0.0,3003.59,0.12,0:02:30,2400
2021-01-03 19:18:13,buy,32999.5,0.0,0.09101941,3003.59,0.12,0:02:40,2400
2021-01-03 19:18:23,sell,33000.0,3003.64,0.0,3003.64,0.121,0:02:50,2400
2021-01-03 19:18:32,hold,33035.5,3003.64,0.0,3003.64,0.121,0:02:59,2400
2021-01-03 19:18:41,hold,33073.9,3003.64,0.0,3003.64,0.121,0:03:09,2400
2021-01-03 19:18:51,hold,33089.4,3003.64,0.0,3003.64,0.121,0:03:18,2400
