unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-02 09:11:59,hold,767.37,200,0,200.0,0.0,0:00:20,2400
2021-01-02 09:12:10,sell,768.14,200,0,200.0,0.0,0:00:31,2400
2021-01-02 09:12:21,buy,768.11,-0.0,0.26037937,200.0,0.0,0:00:42,2400
2021-01-02 09:12:32,hold,767.57,-0.0,0.26037937,199.86,-0.07,0:00:53,2400
2021-01-02 09:12:42,hold,767.56,-0.0,0.26037937,199.86,-0.072,0:01:03,2400
2021-01-02 09:12:54,hold,766.9,-0.0,0.26037937,199.68,-0.158,0:01:15,2400
2021-01-02 09:13:04,sell,767.02,199.72,0.0,199.72,-0.142,0:01:25,2400
2021-01-02 09:13:16,buy,766.81,-0.0,0.26045068,199.72,-0.142,0:01:37,2400
2021-01-02 09:13:27,hold,766.76,-0.0,0.26045068,199.7,-0.148,0:01:48,2400
2021-01-02 09:13:38,hold,766.14,-0.0,0.26045068,199.54,-0.229,0:01:59,2400
2021-01-02 09:13:48,sell,766.54,199.65,0.0,199.65,-0.177,0:02:09,2400
