unix,action,price,balance (usd),balance (ltc),valuation (usd),total net (%),dataset size
2020-12-30 10:01:09.552026,hold,125.67,200.0,0,200.0,0.0,2400
2020-12-30 10:01:21.960619,sell,125.68,200.0,0,200.0,0.0,2400
2020-12-30 10:01:34.418400,hold,125.67,200.0,0,200.0,0.0,2400
2020-12-30 10:01:46.772786,hold,125.54,200.0,0,200.0,0.0,2400
2020-12-30 10:01:59.310372,hold,125.54,200.0,0,200.0,0.0,2400
2020-12-30 10:02:11.833664,hold,125.54,200.0,0,200.0,0.0,2400
2020-12-30 10:02:24.569579,hold,125.39,200.0,0,200.0,0.0,2400
2020-12-30 10:02:37.358429,sell,125.43,200.0,0,200.0,0.0,2400
2020-12-30 10:02:49.926239,buy,125.44,0.0,1.594387755102041,200.0,0.0,2400
2020-12-30 10:03:01.468332,sell,125.52,200.12755102040816,0.0,200.12755102040816,0.06377551020409555,2400
2020-12-30 10:03:12.717358,buy,125.52,0.0,1.594387755102041,200.12755102040816,0.06377551020409555,2400
2020-12-30 10:03:24.449830,hold,125.44,0.0,1.594387755102041,200.0,0.0,2400
2020-12-30 10:03:35.716767,sell,125.5,200.09566326530614,0.0,200.09566326530614,0.047831632653071665,2400
2020-12-30 10:03:47.047439,buy,125.48,0.0,1.5946418812982637,200.09566326530614,0.047831632653071665,2400
2020-12-30 10:03:58.314161,hold,125.49,0.0,1.5946418812982637,200.1116096841191,0.05580484205952985,2400
2020-12-30 10:04:09.858310,hold,125.49,0.0,1.5946418812982637,200.1116096841191,0.05580484205952985,2400
2020-12-30 10:04:21.101562,sell,125.78,200.5740558296956,0.0,200.5740558296956,0.28702791484779766,2400
2020-12-30 10:04:32.345490,hold,125.81,200.5740558296956,0.0,200.5740558296956,0.28702791484779766,2400
2020-12-30 10:04:43.634263,buy,125.77,0.0,1.5947686716203833,200.5740558296956,0.28702791484779766,2400
2020-12-30 10:04:55.136963,hold,125.74,0.0,1.5947686716203833,200.526212769547,0.2631063847734936,2400
2020-12-30 10:05:06.596279,sell,125.77,200.5740558296956,0.0,200.5740558296956,0.28702791484779766,2400
2020-12-30 10:05:18.163668,buy,125.66,0.0,1.5961646970372083,200.5740558296956,0.28702791484779766,2400
2020-12-30 10:05:29.755767,hold,125.66,0.0,1.5961646970372083,200.5740558296956,0.28702791484779766,2400
2020-12-30 10:05:41.427649,hold,125.66,0.0,1.5961646970372083,200.5740558296956,0.28702791484779766,2400
2020-12-30 10:05:52.621799,hold,125.66,0.0,1.5961646970372083,200.5740558296956,0.28702791484779766,2400
2020-12-30 10:06:03.973094,sell,125.7,200.6379024175771,0.0,200.6379024175771,0.31895120878854755,2400
2020-12-30 10:06:15.268085,buy,125.68,0.0,1.5964187016038915,200.6379024175771,0.31895120878854755,2400
2020-12-30 10:06:27.008610,hold,125.57,0.0,1.5964187016038915,200.46229636040064,0.23114818020030725,2400
2020-12-30 10:06:38.306654,sell,125.67,200.62193823056106,0.0,200.62193823056106,0.3109691152805283,2400
2020-12-30 10:06:49.603758,hold,125.68,200.62193823056106,0.0,200.62193823056106,0.3109691152805283,2400
2020-12-30 10:07:00.805484,sell,125.81,200.62193823056106,0.0,200.62193823056106,0.3109691152805283,2400
2020-12-30 10:07:12.271989,buy,125.81,0.0,1.5946422242314684,200.62193823056106,0.3109691152805283,2400
2020-12-30 10:07:23.475453,hold,125.81,0.0,1.5946422242314684,200.62193823056106,0.3109691152805283,2400
2020-12-30 10:07:34.700138,sell,126.06,201.0205987866189,0.0,201.0205987866189,0.5102993933094382,2400
2020-12-30 10:07:45.945958,hold,126.1,201.0205987866189,0.0,201.0205987866189,0.5102993933094382,2400
2020-12-30 10:07:57.456872,buy,126.1,0.0,1.5941363900604195,201.0205987866189,0.5102993933094382,2400
2020-12-30 10:08:08.769796,hold,126.1,0.0,1.5941363900604195,201.0205987866189,0.5102993933094382,2400
2020-12-30 10:08:19.995032,hold,126.1,0.0,1.5941363900604195,201.0205987866189,0.5102993933094382,2400
2020-12-30 10:08:31.391580,sell,126.3,201.33942606463097,0.0,201.33942606463097,0.6697130323154852,2400
