unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-01 20:20:31,sell,722.5,200,0,200.0,0.0,0:00:20,2400
2021-01-01 20:20:41,buy,722.03,0.0,0.2769968,200.0,0.0,0:00:30,2400
2021-01-01 20:20:52,sell,722.71,200.19,0.0,200.19,0.094,0:00:41,2400
2021-01-01 20:21:02,hold,722.78,200.19,0.0,200.19,0.094,0:00:51,2400
2021-01-01 20:21:13,hold,722.81,200.19,0.0,200.19,0.094,0:01:02,2400
2021-01-01 20:21:23,buy,722.3,0.0,0.27715403,200.19,0.094,0:01:12,2400
