unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2020-12-30 23:27:34,hold,744.32,200.0,0,200,0.0,0:00:20,2400
2020-12-30 23:27:45,hold,743.99,200.0,0,200,0.0,0:00:30,2400
2020-12-30 23:27:56,hold,744.0,200.0,0,200,0.0,0:00:42,2400
2020-12-30 23:28:06,hold,744.99,200.0,0,200,0.0,0:00:52,2400
2020-12-30 23:28:17,buy,744.97,0.0,0.26846719,200,0.0,0:01:03,2400
2020-12-30 23:28:28,hold,744.71,0.0,0.26846719,200,-0.035,0:01:14,2400
2020-12-30 23:28:39,hold,744.36,0.0,0.26846719,200,-0.082,0:01:25,2400
2020-12-30 23:28:49,hold,744.18,0.0,0.26846719,200,-0.106,0:01:35,2400
2020-12-30 23:29:00,hold,744.11,0.0,0.26846719,200,-0.115,0:01:46,2400
