unix,action,price,balance (usd),balance (eth),valuation (usd),total net (%),dataset size
2020-12-30 16:06:08.099459,sell,751.0,200.0,0,200.0,0.0,2400
2020-12-30 16:06:20.826911,hold,750.88,200.0,0,200.0,0.0,2400
2020-12-30 16:06:33.767859,sell,750.92,200.0,0,200.0,0.0,2400
