unix,action,price,balance (usd),balance (ltc),valuation (usd),total net (%),dataset size
2020-12-29 22:47:06.417292,hold,129.84,200.0,0,200.0,0.0,2400
2020-12-29 22:47:18.873022,hold,129.84,200.0,0,200.0,0.0,2400
2020-12-29 22:47:31.283005,sell,129.87,200.0,0,200.0,0.0,2400
2020-12-29 22:47:43.957417,buy,129.87,0.0,1.5400015400015399,200.0,0.0,2400
2020-12-29 22:47:56.409094,hold,129.84,0.0,1.5400015400015399,199.95379995379994,-0.02310002310002801,2400
2020-12-29 22:48:08.812023,hold,129.84,0.0,1.5400015400015399,199.95379995379994,-0.02310002310002801,2400
2020-12-29 22:48:21.449708,hold,129.84,0.0,1.5400015400015399,199.95379995379994,-0.02310002310002801,2400
