unix,action,price,balance (usd),balance (ltc),valuation (usd),total net (%),dataset size
2020-12-30 09:53:19.493932,hold,126.16,200.0,0,200.0,0.0,2400
2020-12-30 09:53:33.030482,hold,126.16,200.0,0,200.0,0.0,2400
2020-12-30 09:53:45.686932,sell,126.2,200.0,0,200.0,0.0,2400
2020-12-30 09:53:58.755597,buy,126.2,0.0,1.5847860538827259,200.0,0.0,2400
2020-12-30 09:54:11.091355,hold,126.16,0.0,1.5847860538827259,199.9366085578447,-0.031695721077653616,2400
2020-12-30 09:54:23.793172,hold,126.16,0.0,1.5847860538827259,199.9366085578447,-0.031695721077653616,2400
2020-12-30 09:54:36.457771,hold,126.16,0.0,1.5847860538827259,199.9366085578447,-0.031695721077653616,2400
2020-12-30 09:54:49.002582,hold,126.05,0.0,1.5847860538827259,199.7622820919176,-0.11885895404120106,2400
2020-12-30 09:55:01.012701,hold,126.05,0.0,1.5847860538827259,199.7622820919176,-0.11885895404120106,2400
2020-12-30 09:55:12.182625,sell,126.1,199.84152139461173,0.0,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:55:23.310311,buy,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:55:34.846956,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:55:46.104898,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:55:57.255009,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:56:08.429077,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:56:19.859853,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:56:31.001342,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:56:42.178889,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:56:53.304953,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:57:04.644955,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:57:15.828075,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:57:27.007507,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:57:38.134528,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:57:49.873648,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:58:01.012152,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:58:12.202786,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:58:23.326933,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:58:34.642294,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:58:45.757267,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:58:56.891955,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:59:08.094660,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:59:19.742898,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:59:30.927659,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:59:42.097523,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 09:59:53.315920,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 10:00:04.787013,hold,126.05,0.0,1.5854146877795456,199.84152139461173,-0.07923930269413404,2400
2020-12-30 10:00:16.006969,hold,126.03,0.0,1.5854146877795456,199.80981310085613,-0.09509344957193377,2400
2020-12-30 10:00:27.447998,hold,126.01,0.0,1.5854146877795456,199.77810480710056,-0.1109475964497193,2400
2020-12-30 10:00:38.755298,hold,125.84,0.0,1.5854146877795456,199.50858431017804,-0.24570784491098152,2400
2020-12-30 10:00:50.181706,hold,125.73,0.0,1.5854146877795456,199.33418869452228,-0.33290565273885875,2400
