unix,action,price (xbt),balance (usd),balance (xbt),valuation (usd),total net (%),uptime,dataset size
2021-01-03 18:02:47,hold,33220.0,3000,0,3000.0,0.0,0:00:19,2400
2021-01-03 18:02:57,hold,33220.0,3000,0,3000.0,0.0,0:00:30,2400
2021-01-03 18:03:08,hold,33175.2,3000,0,3000.0,0.0,0:00:40,2400
2021-01-03 18:03:18,hold,33169.8,3000,0,3000.0,0.0,0:00:50,2400
2021-01-03 18:03:28,hold,33160.7,3000,0,3000.0,0.0,0:01:01,2400
2021-01-03 18:03:39,hold,33111.3,3000,0,3000.0,0.0,0:01:11,2400
2021-01-03 18:03:49,hold,33085.4,3000,0,3000.0,0.0,0:01:22,2400
2021-01-03 18:04:00,hold,33065.0,3000,0,3000.0,0.0,0:01:32,2400
2021-01-03 18:04:09,sell,33065.3,3000,0,3000.0,0.0,0:01:41,2400
2021-01-03 18:04:18,buy,33050.1,3000,0,3000.0,0.0,0:01:51,2400
2021-01-03 18:04:28,hold,33030.2,3000,0,3000.0,0.0,0:02:00,2400
2021-01-03 18:04:38,hold,33010.2,3000,0,3000.0,0.0,0:02:10,2400
2021-01-03 18:04:47,sell,33022.4,3000,0,3000.0,0.0,0:02:19,2400
2021-01-03 18:04:56,hold,33025.4,3000,0,3000.0,0.0,0:02:28,2400
