unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-02 22:40:53,hold,776.55,200,0,200.0,0.0,0:00:20,2400
2021-01-02 22:41:03,sell,776.61,200,0,200.0,0.0,0:00:30,2400
2021-01-02 22:41:14,hold,776.72,200,0,200.0,0.0,0:00:41,2400
2021-01-02 22:41:24,buy,776.42,200,0,200.0,0.0,0:00:51,2400
2021-01-02 22:41:34,hold,776.43,200,0,200.0,0.0,0:01:01,2400
2021-01-02 22:41:45,sell,776.46,200,0,200.0,0.0,0:01:12,2400
2021-01-02 22:41:55,hold,776.61,200,0,200.0,0.0,0:01:23,2400
2021-01-02 22:42:06,buy,776.42,200,0,200.0,0.0,0:01:33,2400
2021-01-02 22:42:15,hold,776.41,200,0,200.0,0.0,0:01:42,2400
2021-01-02 22:42:25,hold,776.41,200,0,200.0,0.0,0:01:52,2400
2021-01-02 22:42:34,hold,776.41,200,0,200.0,0.0,0:02:01,2400
2021-01-02 22:42:44,hold,776.41,200,0,200.0,0.0,0:02:11,2400
2021-01-02 22:42:53,hold,776.41,200,0,200.0,0.0,0:02:20,2400
2021-01-02 22:43:02,hold,776.41,200,0,200.0,0.0,0:02:29,2400
2021-01-02 22:43:11,hold,776.41,200,0,200.0,0.0,0:02:38,2400
2021-01-02 22:43:20,hold,776.27,200,0,200.0,0.0,0:02:48,2400
2021-01-02 22:43:29,hold,776.27,200,0,200.0,0.0,0:02:57,2400
