unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-02 18:26:52,buy,775.41,0.0,0.25792806,200.0,0.0,0:00:20,2400
2021-01-02 18:27:02,hold,775.41,0.0,0.25792806,200.0,0.0,0:00:30,2400
2021-01-02 18:27:13,sell,776.92,200.39,0.0,200.39,0.195,0:00:41,2400
2021-01-02 18:27:23,buy,776.92,0.0,0.25792806,200.39,0.195,0:00:51,2400
2021-01-02 18:27:34,hold,776.92,0.0,0.25792806,200.39,0.195,0:01:02,2400
2021-01-02 18:27:44,hold,776.73,0.0,0.25792806,200.34,0.17,0:01:12,2400
2021-01-02 18:27:55,sell,777.0,200.41,0.0,200.41,0.205,0:01:23,2400
