unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-02 18:31:10,buy,777.34,0.0,0.25728767,200.0,0.0,0:00:19,2400
2021-01-02 18:31:20,hold,776.28,0.0,0.25728767,199.73,-0.136,0:00:29,2400
2021-01-02 18:31:30,sell,776.66,199.83,0.0,199.83,-0.087,0:00:39,2400
2021-01-02 18:31:40,hold,776.8,199.83,0.0,199.83,-0.087,0:00:50,2400
2021-01-02 18:31:51,hold,776.96,199.83,0.0,199.83,-0.087,0:01:00,2400
2021-01-02 18:32:01,buy,776.25,0.0,0.25742357,199.83,-0.087,0:01:10,2400
2021-01-02 18:32:12,sell,776.97,200.01,0.0,200.01,0.005,0:01:21,2400
2021-01-02 18:32:22,buy,776.66,0.0,0.25752632,200.01,0.005,0:01:31,2400
2021-01-02 18:32:31,hold,776.26,0.0,0.25752632,199.91,-0.046,0:01:40,2400
2021-01-02 18:32:40,sell,776.39,199.94,0.0,199.94,-0.03,0:01:50,2400
2021-01-02 18:32:50,hold,776.57,199.94,0.0,199.94,-0.03,0:01:59,2400
2021-01-02 18:32:59,buy,776.2,0.0,0.25758935,199.94,-0.03,0:02:08,2400
2021-01-02 18:33:08,sell,776.39,199.99,0.0,199.99,-0.005,0:02:18,2400
2021-01-02 18:33:18,buy,776.39,0.0,0.25758935,199.99,-0.005,0:02:27,2400
2021-01-02 18:33:27,sell,776.5,200.02,0.0,200.02,0.009,0:02:36,2400
2021-01-02 18:33:36,buy,776.4,-0.0,0.25762253,200.02,0.009,0:02:45,2400
2021-01-02 18:33:45,hold,776.19,-0.0,0.25762253,199.96,-0.018,0:02:55,2400
2021-01-02 18:33:54,hold,776.08,-0.0,0.25762253,199.94,-0.032,0:03:04,2400
2021-01-02 18:34:04,hold,775.55,-0.0,0.25762253,199.8,-0.1,0:03:13,2400
2021-01-02 18:34:13,sell,776.41,200.02,0.0,200.02,0.01,0:03:22,2400
2021-01-02 18:34:22,buy,776.16,-0.0,0.25770551,200.02,0.01,0:03:32,2400
2021-01-02 18:34:31,sell,776.24,200.04,0.0,200.04,0.021,0:03:41,2400
2021-01-02 18:34:41,buy,776.06,-0.0,0.25776528,200.04,0.021,0:03:50,2400
2021-01-02 18:34:50,hold,775.56,-0.0,0.25776528,199.91,-0.044,0:04:00,2400
2021-01-02 18:34:59,hold,775.4,-0.0,0.25776528,199.87,-0.064,0:04:09,2400
2021-01-02 18:35:09,hold,775.4,-0.0,0.25776528,199.87,-0.064,0:04:18,2400
2021-01-02 18:35:18,sell,775.71,199.95,0.0,199.95,-0.024,0:04:28,2400
2021-01-02 18:35:28,buy,775.4,0.0,0.25786834,199.95,-0.024,0:04:37,2400
2021-01-02 18:35:37,hold,775.17,0.0,0.25786834,199.89,-0.054,0:04:46,2400
2021-01-02 18:35:46,hold,774.92,0.0,0.25786834,199.83,-0.086,0:04:55,2400
2021-01-02 18:35:55,sell,775.0,199.85,0.0,199.85,-0.076,0:05:05,2400
2021-01-02 18:36:05,hold,775.57,199.85,0.0,199.85,-0.076,0:05:15,2400
2021-01-02 18:36:14,buy,775.45,0.0,0.25771869,199.85,-0.076,0:05:24,2400
2021-01-02 18:36:24,hold,774.32,0.0,0.25771869,199.56,-0.222,0:05:33,2400
2021-01-02 18:36:33,hold,774.05,0.0,0.25771869,199.49,-0.256,0:05:43,2400
2021-01-02 18:36:43,sell,774.18,199.52,0.0,199.52,-0.24,0:05:52,2400
