unix,action,price,balance (usd),balance (eth),valuation (usd),total net (%),dataset size
2020-12-30 16:40:02.929161,hold,751.78,200.0,0,200.0,0.0,2400
2020-12-30 16:40:15.655188,buy,751.78,2.842170943040401e-14,0.2660352762776344,200.0,0.0,2400
