unix,action,price (xbt),balance (usd),balance (xbt),valuation (usd),total net (%),uptime,dataset size
2021-01-03 20:51:38,sell,33296.9,3000,0,3000.0,0.0,0:00:19,2400
2021-01-03 20:51:48,buy,33279.6,0.0,0.09014531,3000.0,0.0,0:00:30,2400
2021-01-03 20:51:59,hold,33271.7,0.0,0.09014531,2999.29,-0.024,0:00:40,2400
2021-01-03 20:52:09,hold,33251.7,0.0,0.09014531,2997.48,-0.084,0:00:51,2400
2021-01-03 20:52:19,hold,33250.7,0.0,0.09014531,2997.39,-0.087,0:01:01,2400
2021-01-03 20:52:30,hold,33230.0,0.0,0.09014531,2995.53,-0.149,0:01:12,2400
2021-01-03 20:52:41,hold,33230.0,0.0,0.09014531,2995.53,-0.149,0:01:23,2400
2021-01-03 20:52:51,hold,33212.1,0.0,0.09014531,2993.92,-0.203,0:01:33,2400
