unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-01 20:13:47,hold,717.61,200,0,200.0,0.0,0:00:19,2400
2021-01-01 20:13:58,hold,717.51,200,0,200.0,0.0,0:00:30,2400
2021-01-01 20:14:09,hold,717.51,200,0,200.0,0.0,0:00:41,2400
2021-01-01 20:14:19,hold,717.51,200,0,200.0,0.0,0:00:52,2400
2021-01-01 20:14:30,sell,717.85,200,0,200.0,0.0,0:01:02,2400
2021-01-01 20:14:40,buy,717.82,0.0,0.27862138,200.0,0.0,0:01:12,2400
2021-01-01 20:14:51,sell,717.97,200.04,-0.0,200.04,0.021,0:01:24,2400
2021-01-01 20:15:02,buy,717.97,0.0,0.27862138,200.04,0.021,0:01:34,2400
2021-01-01 20:15:13,hold,717.85,0.0,0.27862138,200.01,0.004,0:01:45,2400
2021-01-01 20:15:22,sell,718.07,200.07,-0.0,200.07,0.035,0:01:54,2400
2021-01-01 20:15:31,hold,718.47,200.07,-0.0,200.07,0.035,0:02:04,2400
2021-01-01 20:15:41,hold,718.71,200.07,-0.0,200.07,0.035,0:02:13,2400
2021-01-01 20:15:50,hold,719.0,200.07,-0.0,200.07,0.035,0:02:22,2400
2021-01-01 20:15:59,buy,719.0,0.0,0.27826099,200.07,0.035,0:02:31,2400
2021-01-01 20:16:09,sell,720.0,200.35,-0.0,200.35,0.174,0:02:41,2400
2021-01-01 20:16:18,buy,720.0,0.0,0.27826099,200.35,0.174,0:02:50,2400
2021-01-01 20:16:28,hold,720.0,0.0,0.27826099,200.35,0.174,0:03:00,2400
2021-01-01 20:16:37,sell,720.87,200.59,-0.0,200.59,0.295,0:03:09,2400
2021-01-01 20:16:47,hold,721.15,200.59,-0.0,200.59,0.295,0:03:19,2400
2021-01-01 20:16:56,hold,721.19,200.59,-0.0,200.59,0.295,0:03:28,2400
2021-01-01 20:17:06,hold,721.79,200.59,-0.0,200.59,0.295,0:03:38,2400
