unix,action,price,balance (usd),balance (ltc),valuation (usd),total net (%),dataset size
2020-12-29 22:41:28.083664,hold,130.22,600.0,0,600.0,0.0,2400
2020-12-29 22:41:40.373288,hold,130.07,600.0,0,600.0,0.0,2400
2020-12-29 22:41:53.322331,hold,130.07,600.0,0,600.0,0.0,2400
2020-12-29 22:42:06.447670,hold,130.07,600.0,0,600.0,0.0,2400
2020-12-29 22:42:19.025979,sell,130.1,600.0,0,600.0,0.0,2400
2020-12-29 22:42:31.227179,buy,130.1,0.0,4.611837048424289,600.0,0.0,2400
2020-12-29 22:42:43.509535,hold,130.07,0.0,4.611837048424289,599.8616448885473,-0.023059185242118474,2400
2020-12-29 22:42:55.934727,hold,129.83,0.0,4.611837048424289,598.7548039969255,-0.2075326671790947,2400
2020-12-29 22:43:07.182944,sell,129.9,599.0776325903151,0.0,599.0776325903151,-0.15372790161414684,2400
2020-12-29 22:43:18.373599,hold,130.01,599.0776325903151,0.0,599.0776325903151,-0.15372790161414684,2400
2020-12-29 22:43:29.645084,buy,129.93,0.0,4.61077220495894,599.0776325903151,-0.15372790161414684,2400
2020-12-29 22:43:41.266249,hold,129.85,0.0,4.61077220495894,598.7087708139184,-0.2152048643469442,2400
2020-12-29 22:43:52.532748,sell,129.94,599.1237403123647,0.0,599.1237403123647,-0.14604328127254007,2400
2020-12-29 22:44:03.801841,buy,129.86,0.0,4.613612662192859,599.1237403123647,-0.14604328127254007,2400
2020-12-29 22:44:15.022561,hold,129.85,0.0,4.613612662192859,599.0776041857426,-0.15373263570955942,2400
