unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-01 23:17:43,hold,728.31,200,0,200.0,0.0,0:00:19,2400
2021-01-01 23:17:53,buy,728.29,0.0,0.27461588,200.0,0.0,0:00:30,2400
2021-01-01 23:18:04,hold,728.26,0.0,0.27461588,199.99,-0.004,0:00:40,2400
2021-01-01 23:18:14,hold,728.19,0.0,0.27461588,199.97,-0.014,0:00:51,2400
2021-01-01 23:18:25,hold,728.2,0.0,0.27461588,199.98,-0.012,0:01:02,2400
2021-01-01 23:18:35,hold,728.22,0.0,0.27461588,199.98,-0.01,0:01:12,2400
2021-01-01 23:18:46,buy,728.14,0.0,0.27461588,199.96,-0.021,0:01:23,2400
2021-01-01 23:18:57,hold,728.14,0.0,0.27461588,199.96,-0.021,0:01:33,2400
2021-01-01 23:19:07,sell,728.29,200.0,0.0,200.0,0.0,0:01:44,2400
2021-01-01 23:19:17,hold,728.32,200.0,0.0,200.0,0.0,0:01:53,2400
